Chromatin Profile,AUROC,AUPRC,cell_name,assay,source,part,index,cell_type
HeLa_Epithelium_Cervix | BTAF1 | ID:1,0.9827,0.0334,HeLa_Epithelium_Cervix,BTAF1,ID:1,,0,HeLa_Cervical_Carcinoma
H9_Embryonic_Stem_Cell_Embryo | EOMES | ID:1006,0.9627,0.3804,H9_Embryonic_Stem_Cell_Embryo,EOMES,ID:1006,,1,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | EP300 | ID:1007,0.987,0.5157,H9_Embryonic_Stem_Cell_Embryo,EP300,ID:1007,,2,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | FOXH1 | ID:1010,0.9538,0.207,H9_Embryonic_Stem_Cell_Embryo,FOXH1,ID:1010,,3,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | FOXH1 | ID:1011,0.9624,0.1349,H9_Embryonic_Stem_Cell_Embryo,FOXH1,ID:1011,,4,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | FOXP1 | ID:1012,0.9378,0.3859,H9_Embryonic_Stem_Cell_Embryo,FOXP1,ID:1012,,5,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | FOXP1 | ID:1013,0.9208,0.3499,H9_Embryonic_Stem_Cell_Embryo,FOXP1,ID:1013,,6,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | H2BK12ac | ID:1014,0.9876,0.0627,H9_Embryonic_Stem_Cell_Embryo,H2BK12ac,ID:1014,,7,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | H2BK15ac | ID:1017,0.9587,0.0285,H9_Embryonic_Stem_Cell_Embryo,H2BK15ac,ID:1017,,8,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | H2BK5ac | ID:1018,0.9882,0.0576,H9_Embryonic_Stem_Cell_Embryo,H2BK5ac,ID:1018,,9,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | H2BK5ac | ID:1019,0.9879,0.209,H9_Embryonic_Stem_Cell_Embryo,H2BK5ac,ID:1019,,10,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | H3K18ac | ID:1020,0.9957,0.3913,H9_Embryonic_Stem_Cell_Embryo,H3K18ac,ID:1020,,11,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | H3K23me2 | ID:1024,0.9931,0.2037,H9_Embryonic_Stem_Cell_Embryo,H3K23me2,ID:1024,,12,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | H3K27ac | ID:1025,0.9913,0.2244,H9_Embryonic_Stem_Cell_Embryo,H3K27ac,ID:1025,,13,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | H3K27ac | ID:1026,0.9845,0.2578,H9_Embryonic_Stem_Cell_Embryo,H3K27ac,ID:1026,,14,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | H3K27ac | ID:1027,0.9886,0.5023,H9_Embryonic_Stem_Cell_Embryo,H3K27ac,ID:1027,,15,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | H3K27me3 | ID:1028,0.9729,0.3815,H9_Embryonic_Stem_Cell_Embryo,H3K27me3,ID:1028,,16,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | H3K27me3 | ID:1029,0.9827,0.4794,H9_Embryonic_Stem_Cell_Embryo,H3K27me3,ID:1029,,17,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | H3K27me3 | ID:1031,0.9684,0.3504,H9_Embryonic_Stem_Cell_Embryo,H3K27me3,ID:1031,,18,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | H3K27me3 | ID:1032,0.9816,0.3466,H9_Embryonic_Stem_Cell_Embryo,H3K27me3,ID:1032,,19,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | H3K27me3 | ID:1033,0.983,0.3978,H9_Embryonic_Stem_Cell_Embryo,H3K27me3,ID:1033,,20,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | H3K36me3 | ID:1035,0.9785,0.1031,H9_Embryonic_Stem_Cell_Embryo,H3K36me3,ID:1035,,21,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | H3K36me3 | ID:1036,0.9631,0.1683,H9_Embryonic_Stem_Cell_Embryo,H3K36me3,ID:1036,,22,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | H3K4ac | ID:1037,0.9883,0.14,H9_Embryonic_Stem_Cell_Embryo,H3K4ac,ID:1037,,23,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | H3K4me1 | ID:1039,0.9758,0.0158,H9_Embryonic_Stem_Cell_Embryo,H3K4me1,ID:1039,,24,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | H3K4me1 | ID:1040,0.9865,0.5047,H9_Embryonic_Stem_Cell_Embryo,H3K4me1,ID:1040,,25,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | H3K4me2 | ID:1041,0.9974,0.6963,H9_Embryonic_Stem_Cell_Embryo,H3K4me2,ID:1041,,26,H9_Embryonic_Stem_Cell_Embryo
H9_Embryonic_Stem_Cell_Embryo | H3K4me2 | ID:1042,0.9905,0.6292,H9_Embryonic_Stem_Cell_Embryo,H3K4me2,ID:1042,,27,H9_Embryonic_Stem_Cell_Embryo
